Doctor;Problems_PL;Problems_EN
Dentysta;Ból zęba;Toothache
Dentysta;Próchnica;Tooth decay
Dentysta;Kamień nazębny;Tartar buildup
Dentysta;Krwawiące dziąsła;Bleeding gums
Dentysta;Wybielanie zębów;Teeth whitening
Laryngolog;Ból gardła;Sore throat
Laryngolog;Przewlekły katar;Chronic runny nose
Laryngolog;Zatkane uszy;Clogged ears
Laryngolog;Szumy uszne;Tinnitus
Laryngolog;Problemy z głosem;Voice problems
Okulista;Problemy ze wzrokiem;Vision problems
Okulista;Ból oczu;Eye pain
Okulista;Suche oczy;Dry eyes
Okulista;Zapalenie spojówek;Conjunctivitis
Okulista;Dobór okularów lub soczewek;Eyeglass/contact lens fitting
Ortopeda;Ból pleców;Back pain
Ortopeda;Skręcenie lub złamanie;Sprain or fracture
Ortopeda;Ból kolana;Knee pain
Ortopeda;Problemy ze stawami;Joint problems
Ortopeda;Rehabilitacja ortopedyczna;Orthopedic rehabilitation
Psychiatra;Depresja;Depression
Psychiatra;Lęki;Anxiety
Psychiatra;Zaburzenia snu;Sleep disorders
Psychiatra;Zaburzenia nastroju;Mood disorders
Psychiatra;Problemy z koncentracją;Attention difficulties
